Nivel de cumplimiento del horario de las clases diarias;4;5;3;4;5;4;5;4;4;5;3;3;3;2;4;4;3;3;2;3;2;3;4;3;4;2;4;4;5;3;4;3;5;5;4;5;5;5;5;2;5;4;5;3;5;5;4;4;4;5;4;5;5;5;4;5;5;3;3;5;4;4;4;5;4;3;4;4;4;5;4;2;5;4;5
Nivel de cumplimiento del horario de las tutorías;0;0;5;0;5;0;1;4;4;5;4;0;0;4;5;0;0;0;0;0;0;0;4;0;0;4;5;2;0;0;4;5;4;5;3;4;4;5;4;4;4;0;4;4;4;4;0;5;4;4;4;0;5;4;4;5;5;3;4;3;4;3;3;5;2;3;3;4;0;3;4;4;3;4;0
Nivel de cumplimiento de los programas de las asignaturas;4;3;3;4;4;3;4;4;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;5;5;4;4;5;4;4;4;4;4;4;3;3;4;4;4;4;4;5;5;4;2;4;4;4;5;4;4;3;4;4;4;0;3;5;4;5;3;4
Nivel de cumplimiento de los plazos de notificación de calificaciones;2;3;4;2;4;1;4;3;2;4;3;2;3;2;4;0;3;3;3;3;4;3;3;1;4;3;4;2;4;3;4;4;5;5;4;4;5;4;3;3;4;4;4;4;4;4;4;3;1;4;0;5;5;4;3;5;4;3;2;4;3;4;4;4;4;4;4;5;0;2;1;3;3;1;2
Grado de utilidad del Campus Virtual;5;4;3;4;3;4;5;4;4;4;4;3;4;1;5;5;4;4;4;3;4;5;4;5;4;4;5;3;4;2;5;5;5;4;5;4;5;4;5;3;4;5;4;4;4;4;4;5;4;4;3;5;5;3;4;5;4;3;5;5;4;4;5;2;4;4;4;5;4;4;5;4;5;2;1
Grado de utilidad de las tutorías presenciales;0;0;0;0;2;0;4;0;4;3;4;0;0;5;3;0;0;0;0;0;0;0;0;0;0;2;4;4;5;0;3;3;3;3;4;3;5;4;4;4;4;0;4;4;3;5;0;3;3;5;4;0;5;5;5;4;5;3;4;4;4;3;3;4;5;4;3;3;0;3;4;3;4;4;0
Los contenidos de las asignaturas están organizados;4;4;3;3;4;3;3;4;3;3;4;4;3;4;4;5;4;3;4;3;5;4;4;3;4;3;3;1;4;3;3;4;4;5;3;4;4;4;4;3;5;3;3;4;3;4;3;3;3;4;3;4;4;3;5;5;4;2;4;4;4;3;4;4;4;4;4;2;3;2;4;2;4;3;4
Nivel de solapamiento de contenidos entre asignaturas;3;4;3;3;3;2;4;4;1;1;4;2;3;1;4;3;3;1;3;4;1;3;4;3;3;4;3;2;2;3;2;2;4;4;5;5;4;3;3;4;3;4;3;4;4;3;4;5;1;3;3;4;4;4;3;4;5;4;1;4;3;2;3;3;5;3;2;4;3;4;1;3;2;5;3
Formación recibida en relación con las competencias vinculadas a la Titulación;5;3;3;1;3;2;4;4;3;3;4;4;4;4;4;5;3;5;3;3;5;5;4;3;4;3;4;3;4;0;3;3;4;5;4;4;4;4;4;3;4;4;3;4;3;5;4;5;3;4;3;3;4;3;3;4;4;4;4;4;3;4;4;5;3;4;3;3;3;4;4;3;5;4;4
Metodología docente del profesorado;2;3;2;3;3;2;2;3;3;3;4;3;3;3;4;5;2;4;3;1;5;4;4;4;4;2;4;2;3;3;2;3;3;4;4;3;4;3;3;4;4;4;4;4;4;4;4;3;3;4;3;4;4;3;4;4;4;3;4;4;3;3;4;4;3;3;3;3;3;3;1;2;4;4;2
Información disponible en la página web del centro;4;2;2;2;4;1;2;3;2;3;4;2;0;3;3;3;2;3;4;2;3;2;2;4;4;2;4;1;4;2;3;2;0;5;3;2;4;4;5;1;3;3;3;3;2;3;3;4;1;3;2;4;5;2;3;4;3;2;3;3;2;3;4;4;2;3;4;2;2;2;4;2;5;3;0
Distribución de tareas a lo largo del curso;2;2;4;2;1;1;2;3;2;1;2;3;2;2;4;5;2;2;3;1;4;3;3;3;3;2;3;1;3;1;4;4;4;5;4;2;4;3;4;3;3;3;4;4;3;4;3;4;2;3;3;4;5;3;4;5;4;1;2;4;3;4;1;3;1;2;4;3;2;3;0;1;3;2;0
Instalaciones y recursos de apoyo a la docencia (laboratorios, talleres, aulas de informática, proyectores);3;3;5;4;3;2;3;4;2;4;4;4;4;4;5;5;4;4;4;2;5;4;4;5;4;4;5;2;4;3;5;5;3;5;3;4;3;5;5;3;5;3;4;4;4;4;4;5;4;4;4;3;4;4;4;5;3;3;4;4;4;3;3;4;3;4;4;5;4;3;4;4;5;3;4
Utilidad de los contenidos en la Guia Docente;3;3;2;3;4;3;2;4;3;1;0;0;0;2;3;0;3;0;3;0;2;0;0;1;0;1;0;0;0;0;3;0;0;0;3;2;4;5;5;3;4;0;4;4;4;2;3;4;3;3;3;0;4;3;3;0;2;2;3;3;3;3;2;4;1;4;4;4;0;2;5;2;4;1;0
Criterios de evaluación de las asignaturas;3;3;2;3;3;2;3;3;3;4;2;2;3;1;4;3;2;2;4;3;4;3;3;1;4;2;4;1;4;3;3;4;4;5;4;3;4;4;3;3;4;3;3;4;3;3;4;2;2;4;4;4;5;3;4;3;3;3;3;4;4;4;4;4;3;3;4;4;3;3;0;3;3;1;4
Satisfacción global con la titulación;4;3;4;4;4;3;3;4;4;3;4;3;3;4;4;5;3;3;3;3;4;4;4;3;3;2;3;3;4;4;3;3;4;5;4;4;3;4;4;3;5;4;4;4;5;4;4;5;1;4;4;4;5;4;4;5;4;3;4;3;4;4;4;4;3;4;3;3;3;2;2;3;4;5;2
Coordinación entre las clases teóricas y las clases prácticas;3;3;3;4;5;4;4;4;3;5;4;2;3;2;5;4;3;2;3;3;5;4;4;3;4;2;4;2;5;3;2;2;3;5;1;3;3;5;4;2;4;4;2;3;3;4;3;2;2;4;4;3;3;3;2;2;3;4;4;4;5;3;3;5;4;4;4;4;4;3;2;3;5;4;4
Facilidad de convalidación de estudios de Erasmus;0;2;1;0;1;1;0;0;1;1;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;2;2;0;1;0;3;3;2;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;3;4;2;0;1;0;3;1;3;2;0;3;5;0;0
Correspondencia entre el esfuerzo requerido y los creditos obtenidos en las asignaturas;4;2;2;1;1;2;2;1;2;3;2;2;2;1;5;4;3;3;1;1;1;1;3;3;1;2;3;2;3;2;3;3;4;0;5;2;2;3;4;1;2;2;3;3;4;5;4;4;3;5;0;0;4;4;4;5;4;3;2;2;1;3;1;3;1;2;3;1;2;2;2;0;2;1;3
Organización entre las facultades;1;2;1;1;1;1;1;2;2;1;3;3;2;1;3;2;2;3;3;2;4;4;2;1;3;3;4;2;3;2;3;4;2;3;3;2;3;5;3;3;3;3;3;2;3;2;3;5;3;5;2;1;2;3;3;5;2;2;4;3;1;2;2;4;1;3;3;3;3;3;4;2;2;2;1
Coordinación con los grupos de grado;3;2;3;1;1;3;3;2;1;1;0;1;3;1;2;0;2;2;3;3;1;3;3;1;3;1;4;1;3;1;2;3;0;1;3;2;3;5;4;2;3;2;2;3;2;3;4;3;0;3;0;0;3;3;3;3;1;1;2;3;3;4;2;4;1;4;2;3;0;3;4;0;3;1;0
