Su formación académica tiene relación con la/s asignatura/s que imparte;5;5;5;5;3;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5
Se tiene en cuenta la formación del profesor en la asignación de docencia;2;3;4;4;2;4;1;3;3;1;4;2;1;5;3;5;4;5;4;3;2;1;1;5;1;4
Distribución de la carga docente entre clases teóricas y prácticas  ;3;4;3;4;3;4;3;3;3;3;4;3;2;3;4;3;4;5;4;3;4;3;3;3;3;4
Metodologías docentes;2;4;5;4;4;4;5;2;4;4;3;5;4;3;4;5;5;4;4;4;4;4;4;3;4;4
Mecanismos de coordinación de esta Titulación ;4;3;5;5;4;3;3;4;3;4;4;4;5;3;5;3;5;3;4;2;4;3;3;2;4;3
Apoyo del Centro en las tareas de gestión de la actividad docente;3;3;5;5;5;5;1;3;3;3;5;4;4;3;5;4;5;5;4;3;4;3;4;2;3;2
Aprovechamiento de las tutorías por parte de los/as alumnos/as;3;2;5;2;5;3;5;3;4;1;3;2;1;1;2;4;3;2;3;2;2;3;3;4;1;2
Grado de implicación del alumnado;4;4;5;3;5;5;4;3;4;2;4;4;3;3;4;4;4;5;4;1;3;4;5;4;3;3
Utilidad del Campus Virtual para la actividad docente;4;4;1;4;5;5;3;4;3;4;4;5;4;3;5;4;5;4;4;5;4;5;4;1;4;4
Organización de los horarios docentes de las diferentes asignaturas;2;2;5;4;3;4;4;3;3;3;4;5;3;4;3;2;5;5;4;4;4;2;3;3;4;3
Satisfacción con la actividad docente desarrollada;4;4;5;4;5;4;5;3;4;4;4;5;4;4;5;4;5;5;4;2;4;5;5;4;4;4
